Gene	Flowers	IL	ML	Stem	Root
CRO_T122128	0.36	0	0.1	0	0.11
CRO_T122129	14.43	18.73	12.3	10.3	14.33
CRO_T122131	0	0	0.83	0.44	0.85
CRO_T122132	1.41	3.83	2.85	5.85	20.12
CRO_T122133	0.59	0.54	0.35	1.25	0
CRO_T122134	48.51	17.44	19.04	90.8	50.05
CRO_T122135	1.84	6.74	5.19	1.08	1.35
CRO_T122136	20.66	10.33	9.72	15.1	17.02
CRO_T122138	0	0	0.07	0	0.06
CRO_T122139	1.27	2.15	1.86	1.75	1.41
CRO_T122140	0.34	0	0.3	0	0.55
CRO_T122141	0	0.26	0	0	0
CRO_T122142	27.19	47.56	23.97	56.86	37.93
CRO_T122143	0.12	0	0	0	0
CRO_T122144	2.15	0.22	0.48	0.26	1.32
CRO_T122145	1.38	0	0.31	0.37	0.85
CRO_T122146	4.29	1.6	1.24	0	0.71
CRO_T122147	0.4	0	0.5	0.44	0
CRO_T122148	6.94	12.39	6.31	12.4	7.46
CRO_T122149	10.65	20.72	11.58	17.4	18.11
CRO_T122150	0.93	0.66	1.42	0.79	0.53
CRO_T122151	0.16	0.11	0.22	0.62	0.2
CRO_T122152	0.22	0.66	0.25	0.44	0.12
CRO_T122153	3.76	7.33	7.96	1.43	7.23
CRO_T122154	1.19	1.44	1.61	0.89	1.8
CRO_T122156	13.25	3.54	5.05	9.99	24
CRO_T122157	29.48	24.5	24.35	44.74	35.66
CRO_T122159	0.87	0	0	0	0.4
CRO_T122160	0.46	0.65	0.39	0.24	0
CRO_T122161	19.97	23.86	17.75	5.57	12.74
CRO_T122162	0	0.39	0	0.55	1.12
CRO_T122163	0.69	0.71	0.42	0.15	0.19
CRO_T122164	0.18	0	0	0.21	0
CRO_T122166	5.82	4.35	2.72	7.2	4.53
CRO_T122167	0.84	0.14	0.83	0.91	0.98
CRO_T122168	0.42	0.21	1.03	0.67	1.38
CRO_T122170	0.5	0.3	0.84	0.69	0.41
CRO_T122172	0.45	0.67	0.73	0.36	0.16
CRO_T122173	2.88	2.49	1.48	2.6	2.52
CRO_T122174	1.13	1.08	1.29	2.16	1.27
CRO_T122175	22.13	17.05	12.02	17.53	13.13
CRO_T122176	0	0.08	0	0	0
CRO_T122178	0.27	0.05	0.25	0.2	0.3
CRO_T122179	77.01	29.5	32.92	49.13	39.23
CRO_T122182	1.95	1.59	0.67	0.63	2.49
CRO_T122183	0.33	0	0.41	0.32	1.19
CRO_T122184	0.47	2.78	3.29	2.95	0.79
CRO_T122185	0.6	0	0.33	0	0.32
CRO_T122186	29.97	13.75	14.67	21.07	21.39
CRO_T122187	0	0	0.37	0	0
CRO_T122188	6.6	9.06	5.72	17.01	16.85
CRO_T122189	0.6	0.32	0.53	0.56	0.37
CRO_T122191	0.28	0.33	0.73	1.01	0.8
CRO_T122192	4.91	1.08	1.06	8.36	1.65
CRO_T122193	0.53	0.21	0.12	0	0
CRO_T122195	3.28	3.72	1.67	1.75	0.86
CRO_T122196	43.24	34.28	28.72	35.57	44.39
CRO_T122198	0.42	0.35	0.4	4.05	0.44
CRO_T122199	0.09	0.45	0.29	0.74	0.48
CRO_T122202	43.84	140.95	192.64	6.47	27.53
CRO_T122203	3.02	3.75	2.54	1.13	3.46
CRO_T122204	6.92	0	0.68	9.98	1.09
CRO_T122205	4.36	7.5	2.22	8.03	1.44
CRO_T122206	0.97	0.15	0	2.79	0.67
CRO_T122207	84.59	37.66	29.73	162.73	91.44
CRO_T122208	0.1	0.12	0.25	0.11	0.1
CRO_T122210	0	0.26	0	0	0.24
CRO_T122211	0.22	0	0.31	0	0
CRO_T122212	46.01	10.73	10.4	59.37	16.16
CRO_T122213	9.15	10.62	8.96	16.09	18.12
CRO_T122214	26.08	23.96	18	27.95	27.5
CRO_T122218	30.38	32.99	23.95	42.06	38.88
CRO_T122219	60.68	41.98	42.88	87.09	79.47
CRO_T122220	60.65	70.77	54.7	71.58	63.37
CRO_T122221	64.62	45.88	39.59	66.31	82.38
CRO_T122222	2.01	0.96	2.28	3.07	4.77
CRO_T122224	8.74	30.37	18.62	2.01	16.99
CRO_T122225	26.81	18.77	15.78	38.94	26.72
CRO_T122227	2.94	3.33	16.55	12.6	32.11
CRO_T122228	7.26	8.06	4.82	12.28	9.09
CRO_T122229	12.9	14.62	8.36	6.86	18.69
CRO_T122230	0.24	0	0	0	0
CRO_T122231	0.37	0.14	0.08	0.78	0.43
CRO_T122232	3.35	3.37	3.77	8.56	10.76
CRO_T122233	0.26	0.26	0.33	0	0
CRO_T122234	0	0	0.25	0.29	0.26
CRO_T122235	20.11	7.29	10.52	18.5	6.67
CRO_T122236	0.05	0.16	0.06	6.35	0.06
CRO_T122237	21.97	31.47	28.93	101.23	50.24
CRO_T122238	51.49	112.22	81.46	85.96	50.79
CRO_T122239	3.76	3.19	2.62	173.94	38.3
CRO_T122241	0.05	0	0	0.13	0.06
CRO_T122242	1.28	4.5	1.11	3.59	2.38
CRO_T122243	0.44	0.12	0.12	0.22	0.25
CRO_T122244	31.64	73.42	47.92	33.84	29.38
CRO_T122245	7.23	10.46	11.75	5.77	8.35
CRO_T122246	1.62	0.49	1.19	0.57	1.67
CRO_T122247	74.63	136.43	172.52	71.29	86.45
CRO_T122248	128.48	444.77	239	224.01	112.25
CRO_T122249	32.88	59.44	60.19	25.79	36.4
CRO_T122250	0	0.72	0	0.28	0
CRO_T122251	5.23	10.15	11.75	5.61	4.35
CRO_T122252	0.47	0.52	0.92	0.63	0.36
CRO_T122253	1.72	0.37	0.5	0.23	0.47
CRO_T122254	9.82	24.16	14.15	25.97	23.63
CRO_T122255	518.32	3659.32	6421.3	16.63	505.74
CRO_T122256	48.45	43.15	40.51	119.63	45.68
CRO_T122257	0.11	0	0	0.13	0.15
CRO_T122258	41.28	43.43	42.07	66.76	59.45
CRO_T122259	14.56	13.52	18.41	19.19	21.8
CRO_T122260	14.58	100.79	146.3	4.37	24.42
CRO_T122261	9.88	4.1	5.07	5.61	6.27
CRO_T122262	0	0	0	0	0
CRO_T122263	4.26	10.59	6.45	0.54	7.28
CRO_T122265	21.06	12.75	11.67	23.75	19.49
CRO_T122266	23.63	18.3	17.34	25.03	24.12
CRO_T122267	18.78	13.79	16.53	19.98	28.06
CRO_T122268	12.76	18.55	35	32.8	10.35
CRO_T122269	0.37	0.45	0.34	0.12	0.17
CRO_T122270	45.51	42.62	36.54	48.03	60.01
CRO_T122272	2.23	2.12	2.53	1.63	3.92
CRO_T122273	72.18	38.78	50	6.99	22.42
CRO_T122274	0.12	0.05	0.18	0.34	0.13
CRO_T122275	20.61	55.86	34.32	29.98	54.35
CRO_T122276	5.98	5.3	5.67	9.66	10.45
CRO_T122277	5.64	4.26	3.89	11.87	1.93
CRO_T122278	35.99	198.53	135.4	8.69	23.04
CRO_T122279	21.99	27.07	27.43	6.99	7.8
CRO_T122280	11.85	21.58	10.32	3.25	6.9
CRO_T122281	2.83	0.17	0.98	2.31	13.13
CRO_T122283	36.19	119.91	49.1	0.11	61.54
CRO_T122284	22.65	19.92	14.92	21.95	20.22
CRO_T122285	0.67	0.44	0.64	1.59	0.62
CRO_T122286	124.26	102.65	139.19	172.56	248.47
CRO_T122287	33.06	41.63	47.83	113.43	77.65
CRO_T122288	22.15	0.35	0.3	0.35	0.08
CRO_T122289	26.98	6.05	3.53	22.45	16.38
CRO_T122290	27.84	31.92	26.57	37.88	33.94
CRO_T122291	18.83	5.94	11.68	14.43	7.46
CRO_T122292	46	51	44.13	18.99	12.59
CRO_T122293	20.98	14.67	10.69	17.96	16.34
CRO_T122294	1.82	1.76	0.45	1.47	2.96
CRO_T122295	136.41	56.19	77	199.72	106.29
CRO_T122296	66.27	97.7	155.84	52.82	52.46
CRO_T122297	0.27	0	0.32	0	0
CRO_T122298	69.5	56.17	59.05	50.05	63.07
CRO_T122299	53.49	33.79	31.57	61.29	49.28
CRO_T122300	26.7	70.34	42.1	27.6	24.99
CRO_T122301	140.65	204.81	107.38	105.84	94.74
CRO_T122302	170.68	116.52	86.85	125.31	121.97
CRO_T122304	41.33	21.7	10.26	6.72	12.38
CRO_T122305	215.83	164.17	155.12	159.24	251.34
CRO_T122306	2.14	0.63	0.47	6.8	1.29
CRO_T122307	233.36	396.8	208.57	325.38	241.23
CRO_T122308	10.3	13.37	8.85	30.02	12.94
CRO_T122309	0.56	0	0	21.17	0.25
CRO_T122310	0	0	0	41.34	1.43
CRO_T122311	56.44	14.17	12.83	5.51	41.72
CRO_T122312	6.53	6.9	3.87	3.19	21.86
CRO_T122313	110.39	66.04	60.07	534.52	265.27
CRO_T122314	257.38	152.87	108.33	297.38	217.33
CRO_T122316	0.07	0.07	0.08	0.07	0.09
CRO_T122317	1.37	2.44	0.27	1.76	1.78
CRO_T122319	3.2	3.31	2.33	0.87	4.42
CRO_T122321	13.13	4.38	0.78	9.69	14.32
CRO_T122323	68.31	2.55	0.7	123.11	40.12
CRO_T122324	1.31	1.77	1.27	0.78	1.08
CRO_T122325	1.4	0.38	0	0	0
CRO_T122327	0	0.24	0.31	0	0.28
CRO_T122328	0.15	0.4	0.53	0.16	0.46
CRO_T122329	0.36	0.54	0	1.45	1.17
CRO_T122330	0.19	0.2	0	0	0.24
CRO_T122331	10.99	11.01	9.67	11.75	10.54
CRO_T122332	3.75	2.08	1.53	2.36	3.94
CRO_T122333	27.42	29.11	33.57	44.85	28.28
CRO_T122334	0	0	0	0.15	0
CRO_T122337	5.74	3.61	6.52	2.52	4.75
CRO_T122338	2.17	1.52	1.8	1.13	4.35
CRO_T122343	0	0	0	0	0
CRO_T122344	27.65	16.18	16.33	28.91	31.56
CRO_T122345	0	0	0	0	0.18
CRO_T122346	9.44	5.42	7.9	4.22	5.56
CRO_T122347	30.46	26.75	21.96	57.8	34.84
CRO_T122348	1.14	0.87	0.98	0.87	0.94
CRO_T122349	0.1	0.05	0	0	0.1
CRO_T122350	0.41	0.17	0.53	0.55	0.62
CRO_T122351	10.84	12.13	10.72	14.01	13.88
CRO_T122352	0	0	0	0	0
CRO_T122353	0.14	0.14	0.16	0.15	0.34
CRO_T122354	0.42	1.15	0.88	0.69	0.19
CRO_T122355	13.47	16.7	20.92	0.8	7.99
CRO_T122356	0.98	0.24	0.3	0.28	0.65
CRO_T122358	0.2	0	0	0	0
CRO_T122359	0.99	1.92	0.58	3.1	1.52
CRO_T122360	2.35	1.2	1.04	2.22	1.55
CRO_T122362	0.12	0.3	0.19	0.05	0.3
CRO_T122363	24.54	33.44	20.51	26.49	46.38
CRO_T122364	34.45	30.67	25.16	36.41	28.41
CRO_T122365	0.39	0.58	0.52	0.47	0.73
CRO_T122367	8.95	6.19	7.41	7.35	9.16
CRO_T122368	61.62	35.09	29.34	55.65	35.56
CRO_T122370	0.89	1.49	2.32	2.75	3.49
CRO_T122371	19.67	12.57	14.18	14.32	17.72
CRO_T122372	0.34	0.39	0.2	0.36	0.66
CRO_T122374	0.2	0.31	0.16	0.67	0.27
CRO_T122375	0.84	0.55	0.55	0.5	1.6
CRO_T122377	0.51	0.19	0.41	0.32	0
CRO_T122378	0	1.11	0.89	0	0
CRO_T122379	0	0.22	0	0	0
CRO_T122380	17.96	15.02	21.75	15.26	53.8
CRO_T122381	0.69	1.41	0.62	0.59	0.51
CRO_T122382	0.17	0.21	0.27	0.2	0.07
CRO_T122384	0.22	0	0	0.26	0
CRO_T122386	0.18	0	0.47	0.2	0
CRO_T122387	142.46	261.26	179.23	328.85	297.04
CRO_T122388	32.9	84.51	85.17	6.7	19.75
CRO_T122389	2.64	4.77	3.56	5.47	5
CRO_T122390	0	0.28	0	0	0
CRO_T122391	2.67	2.32	1.58	1.81	2.12
CRO_T122392	4.2	9.99	16.93	0.65	3.23
CRO_T122394	0	0.22	0.26	0.58	0.23
CRO_T122395	0.35	0.71	0	0.8	0.36
CRO_T122396	0.06	0	0.08	0.07	0.14
CRO_T122398	0	0	0.19	0.36	0
CRO_T122400	0.15	0.29	0.17	0.26	0.35
CRO_T122401	0	0	0	0	0
CRO_T122402	0.52	0.26	0.31	0.2	0.29
CRO_T122403	0.41	0.3	0.17	0.16	0.27
CRO_T122405	5.32	0.58	2.06	0	0.14
CRO_T122406	0.68	1.28	0.37	1.15	0.87
CRO_T122407	1.61	3.11	1.06	6.46	2.64
CRO_T122408	0.34	0.76	0.43	0.12	0
CRO_T122409	14	16.14	11.93	17.98	21.81
CRO_T122410	0	0	0	0	0
CRO_T122411	0.93	3.79	3.48	6.44	2.79
CRO_T122413	6.51	7.91	3.15	7.37	9.02
CRO_T122414	3.93	8.2	2.38	4.7	7.02
CRO_T122415	3.84	4.96	1.29	12.94	4.35
CRO_T122417	0.57	0	0.37	0.28	1.66
CRO_T122418	30.37	43.71	54.8	19.98	33.72
CRO_T122419	0.06	0.16	0.14	0.13	0.07
CRO_T122420	0.17	0	0.55	0	0.59
CRO_T122421	0.1	0.65	0.54	0.81	0.12
CRO_T122423	0	0	0	0	0
CRO_T122425	0	0.21	0	0	0.25
CRO_T122426	105.19	516.17	280	88.46	97.9
CRO_T122428	1.25	1.09	0.68	1.57	0.98
CRO_T122430	0.28	0.15	0.04	0.35	0.19
CRO_T122433	4.83	10.67	9.76	3.77	3.14
CRO_T122434	52.45	15.12	14.52	148.07	32.13
CRO_T122435	7.98	6.99	5.23	10.31	5.94
CRO_T122436	1.38	1.26	0.48	0.51	1.3
CRO_T122437	5.11	3.15	3.46	6.22	4.18
CRO_T122438	12.02	9.31	20.47	16.02	14.18
CRO_T122439	15.69	19.68	18.26	16.12	19.49
CRO_T122441	0	0.06	0.58	0.07	0.13
CRO_T122442	0.66	1.1	1.1	0.23	1.24
CRO_T122443	22.17	0.36	0	10.21	2.77
CRO_T122446	0	0	0	0.2	0
CRO_T122447	23.89	29.33	17.73	24.71	15.9
CRO_T122448	41.01	46.55	29.96	56.19	47.18
CRO_T122449	12.44	8.35	11.01	11.17	19.86
CRO_T122450	0.47	0.95	0.52	0.28	0
CRO_T122451	0.93	0	1.59	0.55	0.49
CRO_T122452	0.3	0	0.23	0	0.79
CRO_T122454	20.2	13.07	12.92	15.82	18.78
CRO_T122455	4.8	1.8	1.04	5.44	4.84
CRO_T122456	37.12	31.47	23.78	28.65	30.85
CRO_T122457	61.57	45.32	41.52	43.05	68.74
CRO_T122458	0	0	0	0	0
CRO_T122459	0	0	1.06	0	0
CRO_T122460	0	1.06	0.6	0	0
CRO_T122461	0	0.17	0.57	0	0
CRO_T122462	0.37	0.32	0.72	0.73	0.47
CRO_T122464	0.62	0.3	0.13	0.97	0.11
CRO_T122465	0.59	0	0.14	0	0
CRO_T122467	1.34	0.27	0.3	0	0.71
CRO_T122468	0.17	0.08	0.1	0	0
CRO_T122469	34.2	7.53	6.29	61.78	28.27
CRO_T122471	1.08	0.57	0.96	1.6	1.26
CRO_T122474	0.21	6.33	0.61	0.75	1.12
CRO_T122475	3.89	4.37	1.28	7.47	1.52
CRO_T122476	1.61	2.35	1.95	2.23	2.14
CRO_T122479	0	0	0	0.52	0
CRO_T122480	0	0	0	0	0.19
CRO_T122483	0	0	0.11	0.41	0.63
CRO_T122484	12.47	31.85	38.95	63.13	126.85
CRO_T122485	34.34	37.95	34.9	50.02	44.24
CRO_T122486	396.59	445.65	215.69	442.62	373.22
CRO_T122487	6.13	33.63	37.64	1.49	9.91
CRO_T122489	35.71	2	1.18	11.8	1.98
CRO_T122490	25.17	11.09	10.66	45.09	17.8
CRO_T122491	13.24	11.31	5.22	15.85	6.78
CRO_T122492	0.39	1.97	0.48	1.11	2.47
CRO_T122493	20	12.82	20.95	7.97	24.24
CRO_T122494	847.05	2295.78	3131.73	6.29	36.16
CRO_T122495	2.06	3.7	4.1	13.41	0.96
CRO_T122496	13.35	11.7	15.23	14.83	14.21
CRO_T122497	0.54	1.95	0.81	1.01	11.63
CRO_T122498	8.32	3.6	5.12	14.77	27.36
CRO_T122499	76.48	49.46	46.97	84.21	76.93
CRO_T122500	141.64	66.88	61.77	155.26	73.56
CRO_T122501	1.52	0.69	1.21	68.22	8.92
CRO_T122502	2.19	1.92	1.46	6.59	4.29
CRO_T122503	21	18.42	21.21	64.27	81.81
CRO_T122504	22.11	7.01	8.91	25.54	20.76
CRO_T122505	4.89	1.84	0	3.02	6.75
CRO_T122506	1.12	0.43	0.78	0.5	1.26
CRO_T122507	1.88	0.82	0.67	0	2.18
CRO_T122508	0.07	0.16	0.1	0.09	0.97
CRO_T122509	0.67	0.89	0.28	1.82	0.28
CRO_T122510	1.09	0.56	1.83	0.65	1.06
CRO_T122511	0.37	1.49	0.14	0.46	0.26
CRO_T122512	0.9	2.16	1.14	1.38	0.51
CRO_T122513	0.39	0	0.41	0	0
CRO_T122514	0.07	0.18	0.07	0	0.08
CRO_T122516	0	2.93	1.14	0.49	1.29
CRO_T122518	0.9	1.11	0.57	3.17	1.11
CRO_T122519	0.6	1.27	0.38	3.17	0.19
CRO_T122520	2.08	1.75	3.1	6.21	2.16
CRO_T122521	13.46	15.56	12.2	42.62	14.12
CRO_T122522	0.08	0.22	0.03	0.12	0.18
CRO_T122523	0.34	0.25	0.86	0.68	0.9
CRO_T122524	0	0	0	0	0
CRO_T122525	0.48	0.12	0.13	0.28	0
CRO_T122526	0	0	0.13	0	0.13
CRO_T122527	0	0	0	0	0
CRO_T122528	0.27	0.53	0.09	0.07	0.48
CRO_T122529	1.01	0.13	0.25	0.37	0.44
CRO_T122531	1.02	1.98	2.25	2.27	1.4
CRO_T122532	43.76	22.94	21.33	31.71	33.2
CRO_T122533	54.34	16.93	15.41	26.93	21.36
CRO_T122534	6.13	26.41	6.52	8.6	10.8
CRO_T122535	93.78	89.53	39.59	136.41	66.42
CRO_T122536	108.42	45.13	21.35	74.02	76.25
CRO_T122537	283.86	226.74	245.49	560.56	487.36
CRO_T122538	27.38	50.33	63.44	16.05	30.56
CRO_T122539	3.68	4	3.94	6.99	6.01
CRO_T122540	4.21	2.24	4.53	14.7	12.74
CRO_T122541	12.09	34.73	20.7	29.76	39.02
CRO_T122542	3.33	2.95	13.91	22.02	24.8
CRO_T122543	5.92	0.59	0.4	0.49	1.2
CRO_T122544	28.53	34.23	33.49	45.74	48.22
CRO_T122545	60.84	6.45	0.93	0	0.29
CRO_T122546	40.06	48.27	48.79	9.4	16.31
CRO_T122547	14.88	79.72	16.48	19.42	7.09
CRO_T122549	73.13	25.48	38.44	44.32	50.34
CRO_T122550	16.68	15.52	9.98	39.22	44.5
CRO_T122551	1.74	0.62	1.01	4.03	4.37
CRO_T122552	0.38	0.15	0.39	0.09	0.27
CRO_T122553	1.26	0.82	0	0.41	0.68
CRO_T122556	1.3	1.02	0.68	1.5	1.18
CRO_T122557	0.42	0.99	0.29	0.55	1.11
CRO_T122559	0.56	0.3	1.84	0.36	0.97
CRO_T122560	1.33	1.35	1.63	1.73	3.96
CRO_T122563	77.16	85.15	126.87	14478.18	270.64
CRO_T122564	133.36	6.15	2.28	23.41	11.62
CRO_T122565	26.61	30.35	28.44	6.01	13.83
CRO_T122566	1.84	34.58	0.45	1.65	0.49
CRO_T122567	66.24	14.68	16.02	42.73	18.38
CRO_T122568	61.15	11.42	13.3	32.46	15.46
CRO_T122569	1543.14	1107.67	1590.64	1156.76	2728.59
CRO_T122570	49.18	54.36	42.69	38.81	51.17
CRO_T122571	8.2	14.16	7.8	6.88	8.19
CRO_T122572	161.85	54.03	86.34	133.39	207.33
CRO_T122573	27.23	25.82	20.33	27.76	23.67
CRO_T122574	1.18	1.71	1.59	3.41	1.86
CRO_T122575	59.5	39.51	38.84	104.7	60
CRO_T122576	5.7	33.64	27.07	94.08	286.28
CRO_T122577	1.49	1.15	1.01	22.95	13.22
CRO_T122578	5.54	6.55	5.77	50.31	38.95
CRO_T122579	109.69	0.44	0.3	0.75	0.6
CRO_T122580	6.68	6.23	3.56	6.53	13.38
CRO_T122582	16.61	14.64	13.9	21.94	21.16
CRO_T122583	1.22	2	1.41	4.89	2.39
CRO_T122584	0.47	1.61	0.72	2.95	2.69
CRO_T122585	76.57	92.19	50.73	118	86.18
CRO_T122586	0.7	2.52	0.87	1.7	3.34
CRO_T122587	1.91	6.22	4.2	9.81	20.3
CRO_T122589	0.45	0.24	0.33	0.4	0.17
CRO_T122590	0.74	0.18	0.5	0.42	0.65
CRO_T122591	2.53	3.02	0.45	0.83	0.46
CRO_T122592	0	0.17	0	0	1.4
CRO_T122596	50.88	115.78	183.59	7.96	40.98
CRO_T122597	0.05	0.29	0.33	1.65	0.26
CRO_T122599	14.49	9.88	8.58	10.27	13.86
CRO_T122600	49.75	115.97	175.68	9.35	41.4
CRO_T122603	0.09	0.38	0.33	2.04	0.05
CRO_T122604	38.13	26.89	20.61	27.32	32.28
CRO_T122605	0	1	0.9	0.55	0
CRO_T122606	0.3	0	0	0.82	0.34
CRO_T122607	0	0	0	0	0
CRO_T122608	0	0.46	0	0	0
CRO_T122609	12.48	3.68	5.9	15.76	20.69
CRO_T122610	15.34	8.57	4.92	10.01	8.61
CRO_T122611	36.79	26.37	23.41	22.57	37.96
CRO_T122612	322.97	3033.27	2556.23	140.2	585.85
CRO_T122613	99.8	12.8	15.84	10.84	8.31
CRO_T122614	51.86	360.89	246.11	22.81	73.71
CRO_T122615	84.27	558.14	287.24	24.45	80.01
CRO_T122616	331.8	3340.95	7261.04	27.33	613.68
CRO_T122617	19.86	29.3	42.25	1.31	2.03
CRO_T122618	70.43	98.3	100.94	52.74	59.94
CRO_T122619	14.78	16.07	8.06	26.25	19.39
CRO_T122620	3.96	4.44	2.2	4.48	5.54
CRO_T122622	40.58	39.84	34.27	39.79	43.52
CRO_T122623	1.53	7.88	7.94	3.1	2.23
CRO_T122624	42.97	32.54	30.11	36.42	33.78
CRO_T122625	5.42	6.66	5.07	5.5	9.25
CRO_T122627	51.85	25.6	26.98	39.43	45.01
CRO_T122628	73.12	41.46	39.89	48.97	51.88
CRO_T122629	19.17	16.26	10.99	19.1	19.65
CRO_T122630	27.25	14.75	11.98	17.67	20.43
CRO_T122631	27.25	18.76	10.5	15.51	14.54
CRO_T122633	19.03	26.3	32.05	26.45	30.81
CRO_T122634	53.71	67.77	35.79	88.14	33.98
CRO_T122635	0.49	0.25	0.15	0.53	0.32
CRO_T122636	40.55	24.23	20.62	18.09	26.6
CRO_T122637	0.17	0.08	0.13	0.14	0.14
CRO_T122640	0.19	0	0.19	0.84	0.68
CRO_T122641	0	0.05	0.2	83.28	0
CRO_T122642	22.98	2.57	0.6	37.07	11.62
CRO_T122643	3.28	10.36	14.36	7.79	7.39
CRO_T122644	42.39	168.43	236.16	94.32	93.08
CRO_T122645	0.37	11.55	2.14	1.93	4.52
CRO_T122646	9.43	25.26	18.58	4.95	8.13
CRO_T122647	1.5	37.98	40.63	0.07	1.77
CRO_T122648	212.35	126.86	101.17	182.87	199.51
CRO_T122649	166.97	124.35	121.17	125.44	161.61
CRO_T122650	28.19	21.97	17.11	257.45	88.31
CRO_T122651	9.98	25.39	10.82	21.2	36.34
CRO_T122652	62.75	44.94	42.48	120.07	87.58
CRO_T122653	13.06	5.8	4.69	23.86	8.32
CRO_T122654	1.96	13.63	16.61	1.6	1.68
CRO_T122655	8.72	23.35	22.15	10.26	27.05
CRO_T122656	7.28	6.52	8.39	4.45	9.3
CRO_T122657	37.01	16.04	16.07	13.39	18.43
CRO_T122658	7.67	10.14	9.79	14.5	19.28
CRO_T122659	8.71	4.18	1.82	0.3	2.2
CRO_T122660	109.3	64.53	53.91	101.2	123.29
CRO_T122661	39.5	26.44	20.55	36.97	31.39
CRO_T122662	16.55	10.58	10.18	20.27	16.12
CRO_T122663	77.02	0.96	0.51	2.25	1.7
CRO_T122664	7.71	3.73	3.08	8.51	8.13
CRO_T122665	389.15	4.76	5.15	13.58	7.13
CRO_T122666	5.11	12.31	6.23	3.43	19.96
CRO_T122667	5.03	20.88	12.7	4.13	60.79
CRO_T122668	0	0	0	0.32	0
CRO_T122669	0.03	0.03	0.08	0.03	0.03
CRO_T122670	11.65	11.61	5.85	15.94	6.36
CRO_T122671	18.96	0.22	0.11	1.63	0.93
CRO_T122672	6.32	1	1.08	1.68	0.57
CRO_T122673	32.77	5.82	5.27	9.08	6.37
CRO_T122674	0.69	1.45	0.99	0.89	1.34
CRO_T122675	48.77	3.52	4.12	33.86	6.83
CRO_T122676	0	0	0.88	0	0.4
CRO_T122677	0	0	0	0	0
CRO_T122679	23.31	16.37	14.27	19.89	17.78
CRO_T122680	0	0	0	0.64	0.82
CRO_T122682	0.19	0.19	0.12	0.33	0.24
CRO_T122683	0.5	0.4	0.23	0	0
CRO_T122684	0.89	0.96	1.3	0.61	1.46
CRO_T122685	60.96	42.3	36.16	51.13	48.44
CRO_T122687	131.24	70.69	67.64	119.69	107.06
CRO_T122688	0.51	0	0	0	0.3
CRO_T122689	41.41	30.08	24.91	41.02	40.01
CRO_T122690	229.77	140.36	132.64	240.51	252.58
CRO_T122691	53.35	24.81	26.58	56.42	77.49
CRO_T122693	0.13	0.25	0.17	0.3	0.55
CRO_T122694	151.78	80.97	81.42	170.35	157.52
CRO_T122696	3.96	0.59	0.69	0.58	1.35
CRO_T122697	5.2	4.26	4.13	7.74	49.86
CRO_T122698	0.46	0.74	0.4	0.9	1.51
CRO_T122699	1.23	0.93	1.29	1.32	1.4
CRO_T122700	3.28	4.6	2.99	2.32	1.3
CRO_T122701	0.17	0.18	0	0.19	0.21
CRO_T122702	0.71	0.6	1.18	1.58	0.64
CRO_T122703	0.38	0.26	0.14	2.75	0.4
CRO_T122705	0.38	1.03	0.31	0.14	0
CRO_T122706	37.15	49.35	25.48	62.62	50.14
CRO_T122707	110.03	176.24	122.58	220.94	141.69
CRO_T122708	37.17	40.55	41.38	61.23	54.45
CRO_T122709	14.59	28.72	22.07	48.16	18.74
CRO_T122710	73.33	74.66	63.53	1.24	52.72
CRO_T122711	7.28	4.02	2.95	2.55	1.8
CRO_T122712	1.04	3.15	0.7	2.36	0.68
CRO_T122713	0.84	0.35	0.16	0.47	0.33
CRO_T122714	0.1	0.21	0.35	0.36	0.34
CRO_T122715	0.48	0.51	0.31	0	0.87
CRO_T122716	0	0	0.2	0.19	0.24
CRO_T122718	1.4	0.65	0.21	0.19	0.83
CRO_T122720	0.32	1.27	0.43	0.71	0.42
CRO_T122721	0.51	0.27	0.27	0.09	0.39
CRO_T122722	0.65	0.33	0	0.73	0.21
CRO_T122723	0.07	0	0.37	0.18	0.07
CRO_T122724	2.86	1.38	0.78	1.69	1.69
CRO_T122726	0.53	0.79	0	0.15	0.61
CRO_T122727	73.47	59.9	35.04	26.74	30.27
CRO_T122728	87.73	546.95	637.12	11.31	59.11
CRO_T122729	0.62	0	0	0	0
CRO_T122730	0.31	0.1	0	0	0
CRO_T122731	1.17	0	0	2.55	3.59
CRO_T122732	41.56	23.49	24.17	75.33	57.78
CRO_T122733	10.84	6.79	5.85	23.29	20.29
CRO_T122734	0	0.45	0	0	0.52
CRO_T122736	2.1	7.18	0.81	5.36	1.77
CRO_T122737	328.1	100.6	101.74	93.09	111.76
CRO_T122738	1.86	2.08	2.65	5.07	1.4
CRO_T122739	0.18	0.45	0.71	0.1	0.39
CRO_T122740	0.99	0.49	1.19	1.02	2.11
CRO_T122742	0.51	1.4	0	1.61	0.64
CRO_T122743	15.29	10.28	7.52	11.21	11.63
CRO_T122744	0.15	0.08	0.11	0.09	0.19
CRO_T122745	0.31	0.11	0	0.24	0.12
CRO_T122746	0	0	0	0	0
CRO_T122747	286.17	0.97	0.53	69.13	6.5
CRO_T122748	5.8	6.76	3.09	10.26	14.45
CRO_T122749	6.68	10.94	8.65	10.77	24.11
CRO_T122750	0.05	0.09	0	0.05	0.06
CRO_T122751	11.3	8.78	6.81	11.12	10.86
