Gene	Flowers	IL	ML	Stem	Root
CRO_T100287	7.06	1.75	4.02	0.41	6.33
CRO_T100288	15.9	9.4	22.1	9.28	13.33
CRO_T100289	2.63	0.51	0	1.78	0.29
CRO_T100290	0.34	0.75	0	0	1.01
CRO_T100291	0.22	0.34	0.63	1.49	0.34
CRO_T100292	0	0.39	0	0	0
CRO_T100294	1.55	0.35	0.78	1.12	0.8
CRO_T100295	0	0	0.42	0.8	0
CRO_T100296	0.11	0	0.14	0.31	0
CRO_T100297	0	0	0.31	0	0
CRO_T100298	2.11	1.37	0.25	2.22	0.43
CRO_T100299	2.39	1.03	4.05	3.92	3.44
CRO_T100300	0.49	0.26	0.57	0.39	0.44
CRO_T100301	0.68	0.75	0.14	0.72	0.61
CRO_T100302	7.47	14.96	12.51	16.08	14.83
CRO_T100304	7.92	8.09	7.64	14.51	6.05
CRO_T100305	0.51	0.25	0.62	0	0.46
CRO_T100306	0.53	2.27	0.58	0.15	0
CRO_T100307	0	0	0	0.2	0
CRO_T100309	0.59	1.8	1.24	0.68	0.77
CRO_T100310	0.18	0.18	0	0.2	0
CRO_T100311	1.88	2.13	4.36	3.04	2.17
CRO_T100312	0	0	0	0	0
CRO_T100313	1.75	3.58	0.97	1.64	0.95
CRO_T100314	1.1	0.21	1.4	2.01	1.78
CRO_T100315	0.34	0.09	0.33	0.71	1.76
CRO_T100316	0.43	1.43	0.61	0.26	0.2
CRO_T100317	10.21	25.33	21.59	3.08	27.96
CRO_T100318	9.04	7.25	5.52	20.4	5.08
CRO_T100319	0	0	0.48	0	0
CRO_T100320	0	0.18	0	0	0
CRO_T100322	3.96	3.71	2.48	4.03	3.8
CRO_T100323	33	414.1	263.76	1.79	47.89
CRO_T100325	0.37	0.33	0.24	0.65	0.33
CRO_T100326	0.06	0.12	0.18	0.3	0.08
CRO_T100327	30.64	16.09	19.86	36.09	31.69
CRO_T100329	0	0	0	0.99	0
CRO_T100330	0.41	0.58	0.7	0.68	1.23
CRO_T100331	3.1	5.69	6.13	6.67	6.72
CRO_T100334	0	0.53	1.23	0	0.78
CRO_T100335	7.62	10.64	1.56	1.38	1.1
CRO_T100336	7.43	13.32	2.36	4.53	4.74
CRO_T100337	7.32	8.83	5.12	4.29	6.1
CRO_T100338	9.2	4.75	6.92	13.8	6.84
CRO_T100339	16.84	11.77	7.85	13.24	11.97
CRO_T100342	22.97	24.8	20.02	17.74	30.11
CRO_T100345	0.18	0.19	0	0	0.19
CRO_T100346	0	0.3	0.31	0	0.77
CRO_T100347	1.39	0.53	2.23	0	0
CRO_T100349	0.53	0.42	0.2	0.71	0.45
CRO_T100351	3.95	3.3	3.66	5.08	3.23
CRO_T100352	0.47	0.8	0.65	0.64	0.87
CRO_T100353	5.29	15.31	16.62	2.8	3.73
CRO_T100354	0.67	0.43	0.56	0.43	0.39
CRO_T100355	0	0	0.56	0	0
CRO_T100358	0.68	1.93	0.34	1.59	1.35
CRO_T100359	0.31	0.18	0.38	0.2	0.32
CRO_T100360	5.95	12.42	5.07	14.11	15.98
CRO_T100362	0.33	0.5	0.31	0.38	0.31
CRO_T100363	0.26	0.37	0.91	0.57	0.99
CRO_T100364	1.88	0.85	0.21	0.82	0.7
CRO_T100365	3.93	5.93	6.73	7.8	4.1
CRO_T100366	0.6	0.32	1.41	1.1	1.83
CRO_T100368	15.1	0	0.09	0.08	0.08
CRO_T100370	2.18	0.54	0.88	0.12	0.42
CRO_T100371	1.24	0.28	0.21	0	0
CRO_T100372	1.36	2.47	6.75	2.36	7.63
CRO_T100373	0.9	0.63	0.49	0.48	0.66
CRO_T100375	2	1.33	1.87	7.3	4.18
CRO_T100376	0.17	0.18	0.39	0.51	1.3
CRO_T100377	0.78	0.31	0.65	0.75	0.92
CRO_T100378	0.08	0.08	0.08	0	0.16
CRO_T100379	0	0.39	1.55	0	1.21
CRO_T100380	0	0	0.41	0	0
CRO_T100381	0.08	0.93	0.65	3.96	3.29
CRO_T100382	5.79	1.75	1.69	1.26	1.97
CRO_T100383	1.22	2.06	0.34	1.39	1.23
CRO_T100384	0.45	0.15	0.18	0	0.54
CRO_T100385	0.71	0.38	0.24	0.21	0.33
CRO_T100388	0.54	1.62	1.33	0.35	0.29
CRO_T100389	0.15	0.3	0	0	0
CRO_T100390	0.06	0.03	0.04	0.07	0
CRO_T100391	0.18	0.07	0.05	0.1	0.04
CRO_T100392	0.41	1.42	1.21	2.01	2.74
CRO_T100395	18.55	10.19	12.4	38.04	28.46
CRO_T100396	25.25	15.16	9.74	44.05	28.78
CRO_T100398	0.84	0.99	0	0.27	1.05
CRO_T100399	7.98	4.77	0.64	12.65	2.86
CRO_T100400	20.92	31.96	34.54	19.86	24.52
CRO_T100401	0	0.96	0.66	0	0
CRO_T100403	14.85	13.7	12.76	14.38	22.73
CRO_T100404	1.17	1.26	1.27	2.32	1.99
CRO_T100405	0.94	0.64	1.21	0.25	0.91
CRO_T100406	0.49	0.25	0.47	0.55	0.69
CRO_T100407	0.26	0	0	0	0
CRO_T100408	0.29	0.29	0	0.6	0.33
CRO_T100409	38.34	12.74	8.28	14.58	13.07
CRO_T100410	6.11	6.47	1.95	29.74	9.21
CRO_T100412	0.18	0	0	0.19	0
CRO_T100415	0.68	0.35	0.37	0.39	1.06
CRO_T100416	7.59	6.83	6.8	8.8	7.88
CRO_T100417	0	0.31	0.24	0.09	0.07
CRO_T100418	1.52	0.97	0	0.56	1.08
CRO_T100419	0.39	0	0	0.49	0.89
CRO_T100420	0.23	0	0.1	0.4	0.2
CRO_T100423	0.27	0.38	0.5	0.11	0.72
CRO_T100424	0	0.13	0	0	0
CRO_T100425	2.31	5.55	10.57	1.79	3.76
CRO_T100427	0.51	0.24	0	2.86	0.31
CRO_T100428	0.24	0.58	0.25	0.35	0.22
CRO_T100429	7.94	1.8	0.3	44.16	5.69
CRO_T100430	0.37	0.18	0.09	0.87	0.46
CRO_T100431	0.07	0.07	0.41	0.09	0.1
CRO_T100432	1.08	1.05	1.05	0.85	1.21
CRO_T100433	0	0.52	0	0	0.5
CRO_T100435	1.08	2.2	1.12	2.41	1.05
CRO_T100436	0.31	0.52	0.73	0.65	1.19
CRO_T100437	28.06	21.08	19.35	41.84	36.53
CRO_T100438	95.87	71.95	42	112.46	95.99
CRO_T100439	38.1	17.87	14.75	14.72	15.05
CRO_T100440	0	0	0.26	0	0
CRO_T100441	0.14	0.14	0.61	0.45	0.21
CRO_T100443	1.02	0.19	0.69	0.73	2.82
CRO_T100445	22.74	19.67	24.37	27.22	24.56
CRO_T100446	12.32	28.18	21.05	8.56	23.99
CRO_T100447	25.02	21.77	20.25	21.82	30.29
CRO_T100448	0.17	0	0.19	0	0
